Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220nF","C1206",50.165000,-40.005000,0.000000,top
"D1","XL-3216UGC","LED1206-R-RD_GREEN",41.401200,-40.005200,180.000000,top
"NFC","25X48MM_NFC_ANTENNA","25X48MM_NFC_ANTENNA",70.739000,-26.797000,90.000000,top
"Pad_gge145080","Pad_gge145080","Pad_gge145080",7.800000,-32.600000,0.000000,top
"Pad_gge145083","Pad_gge145083","Pad_gge145083",7.800000,-30.600000,0.000000,top
"Pad_gge145086","Pad_gge145086","Pad_gge145086",7.800000,-34.600000,0.000000,top
"Pad_gge145089","Pad_gge145089","Pad_gge145089",7.800000,-36.600000,0.000000,top
"Pad_gge145092","Pad_gge145092","Pad_gge145092",7.800000,-38.600000,0.000000,top
"Pad_gge145095","Pad_gge145095","Pad_gge145095",7.800000,-40.600000,0.000000,top
"Pad_gge145098","Pad_gge145098","Pad_gge145098",7.800000,-42.600000,0.000000,top
"R1","47Ω","R1206",43.180000,-31.369000,0.000000,top
"U1","NT3H2111W0FTTJ","TSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL",49.911000,-31.242000,180.000000,top
